Date,flow,rain,temp
2025-01-11T13:00,1,13,20
2025-01-11T14:00,11,13.4,21
2025-01-11T15:00,12,10.4,-2
2025-01-11T16:00,12,10.4,-2
2025-01-11T17:00,12,10.4,-2
2025-01-11T18:00,12,10.4,-2
2025-01-11T19:00,12,10.4,-2
2025-01-11T20:00,12,10.4,-2
2025-01-11T21:00,12,10.4,-2
2025-01-11T22:00,12,10.4,-2
2025-01-11T23:00,12,10.4,-2
2025-01-12T00:00,12,10.4,-2
2025-01-12T01:00,12,10.4,-2
2025-01-12T02:00,12,10.4,-2
2025-01-12T03:00,12,10.4,-2
2025-01-12T04:00,12,10.4,-2
2025-01-12T05:00,12,10.4,-2
2025-01-12T06:00,12,10.4,-2
2025-01-12T07:00,12,10.4,-2
2025-01-12T08:00,12,10.4,-2
2025-01-12T09:00,12,10.4,-2
2025-01-12T10:00,12,10.4,-2
2025-01-12T11:00,12,10.4,-2
2025-01-12T12:00,12,10.4,-2
2025-01-12T13:00,12,10.4,-2
2025-01-12T14:00,12,10.4,-2
2025-01-12T15:00,12,10.4,-2
2025-01-12T16:00,12,10.4,-2
2025-01-12T17:00,12,10.4,-2
2025-01-12T18:00,12,10.4,-2
2025-01-12T19:00,12,10.4,-2
2025-01-12T20:00,12,10.4,-2
2025-01-12T21:00,12,10.4,-2
2025-01-12T22:00,12,10.4,-2
2025-01-12T23:00,12,10.4,-2
2025-01-13T00:00,12,10.4,-2
2025-01-13T01:00,12,10.4,-2
2025-01-13T02:00,12,10.4,-2
2025-01-13T03:00,12,10.4,-2
2025-01-13T04:00,12,10.4,-2
2025-01-13T05:00,12,10.4,-2
2025-01-13T06:00,12,10.4,-2
2025-01-13T07:00,12,10.4,-2
2025-01-13T08:00,12,10.4,-2
2025-01-13T09:00,12,10.4,-2
2025-01-13T10:00,12,10.4,-2
2025-01-13T11:00,12,10.4,-2
2025-01-13T12:00,12,10.4,-2
2025-01-13T13:00,12,10.4,-2
2025-01-13T14:00,12,10.4,-2
2025-01-13T15:00,12,10.4,-2
2025-01-13T16:00,12,10.4,-2
2025-01-13T17:00,12,10.4,-2
2025-01-13T18:00,12,10.4,-2
2025-01-13T19:00,12,10.4,-2
2025-01-13T20:00,12,10.4,-2
2025-01-13T21:00,12,10.4,-2
2025-01-13T22:00,12,10.4,-2
2025-01-13T23:00,12,10.4,-2
